drink_name,drink_type,drink_image,drink_abv,drink_producer,drink_tasting_notes
Budweiser Budvar B:FREE,Lager,,0.5,Budweiser Budvar,
Budweiser Budvar Dark,Lager,,4.7,Budweiser Budvar,
Budweiser Budvar Krausened,Lager,,4.0,Budweiser Budvar,
Budweiser Prohibition Brew,Lager,,0.0,Budweiser,
Bulmers Blueberry and Lime,Fruit Cider,,4.0,Bulmers,
Bulmers Crushed Red Berries & Lime,Fruit Cider,,4.0,Bulmers,
Bulmers Orchard Pioneers Kier's Cloudy Apple,Cider,,5.0,Bulmers,
Bulmers Orchard Pioneers Sarah's Red Apple,Cider,,5.0,Bulmers,
Bulmers Original,Cider,,4.5,Bulmers,
Bulmers Pear,Perry,,4.5,Bulmers,
Burning Kiss,Amber Ale,,5.5,Kissmeyer,
Butcombe Bitter,Bitter,,4.5,Butcombe,
Butcombe Bitter (Cask),Bitter,,4.0,Butcombe,
Butcombe Bitter (Keg),Bitter,,4.5,Butcombe,
Butcombe Gold,Bitter,,4.7,Butcombe,
Butcombe Haka,Blonde Ale,,4.5,Butcombe,
By The Horns 2Tone London Lager,Lager,,4.5,By The Horns,
By The Horns Stiff Upper Lip,Lager,,3.8,By The Horns,
By The Horns Wolfie Smith,IPA,,5.2,By The Horns,
Caesar Augustus,Lager,,5.0,Williams Bros. Brewing Co.,
Caffrey's,Ale,,3.8,Caffrey's,
Caledonia Best,Bitter,,3.2,Caledonia,
Caledonian Three Hop,Lager,,4.5,Caledonian,
Camerons Brewery Motorhead Road Crew,Pale Ale,,5.0,Camerons Brewery,
Camerons Tontine Milk Stout,Stout,,4.1,Camerons Brewery,
Caple Rd Cider,Cider,,5.2,Caple Rd,
Carling Cider,Cider,,4.5,Carling,
Carling Lager,Lager,,4.0,Carling,
Carlsberg Special Brew,Lager,,9.0,Carlsberg,
Carlsberg Zero,Lager,,0.0,Carlsberg,
Celt Chieftain,IPA,,4.3,Celt,
Celt House Lager,Lager,,5.0,Celt,
Celt Pilsner,Lager,,5.0,Celt,
Celt Silures,Golden Ale,,4.6,Celt,
Celt Silures Munich Pale Ale,Pale Ale,,4.6,Celt,
Ceriux Rubia,Ale,,5.4,Ceriux,
Chang Classic Beer,Lager,,5.0,Chang,
Chaumet Demi Sec,Perry,,5.5,Chaumet,
Chimay Blue Trappist,Lager,,9.0,Chimay,
Chimay Red,Lager,,7.0,Chimay,
Cidersmiths Bristol Draught,Cider,,5.5,Cidersmiths,
Cidersmiths SixPointSix Craft Cider,Cider,,6.6,Cidersmiths,
Cobra Zero,Lager,,0.0,Cobra,
Collesi Ambrata,Amber Ale,,7.5,Collesi,
Collesi Bionda,Blonde Ale,,6.0,Collesi,
Collesi Rossa,Red Ale,,8.0,Collesi,
Commonside Pale Ale,Pale Ale,,5.0,Belleville,
Coopers Pale Ale,Pale Ale,,4.5,Coopers Brewery,
Copse House Cider Landshire Medium,Cider,,4.5,Copse House Cider,
Copse House Cider Landshire Medium Dry,Cider,,6.0,Copse House Cider,
Cornish Orchards Heritage Cider,Cider,,5.0,Cornish Orchards,
Cornish Orchards Keeper's Meadow,Cider,,4.0,Cornish Orchards,
Cornish Orchards Vintage Cider,Cider,,7.2,Cornish Orchards,
Courage Best Bitter,Bitter,,4.0,Courage,
Courage Light Ale,Light Ale,,3.2,Courage,
Cubanisto Rum Beer,Lager,,5.9,Cubanisto,
Curious IPA,IPA,,5.6,Curious,
Curious Porter,Porter,,5.0,Curious,
Dark Star Hophead,Beer,,3.8,Dark Star,
Daura Marzen,Beer,,7.2,Damm,
Day of the Dead Amber Ale,Amber Ale,,6.1,Day of the Dead,
Day of the Dead Heffe,Wheat Beer,,5.4,Day of the Dead,
Day of the Dead IPA,IPA,,6.8,Day of the Dead,
Deeside Craft Lager,Lager,,4.1,Deeside,
Deeside LAF,Lager,,4.1,Deeside,
Desperados DOS,Lager,,7.0,Desperados,
Desperados Red,Lager,,5.9,Desperados,
Devassa,Lager,,4.5,Devassa,
Dry Blackthorn,Cider,,5.0,Blackthorn,
Drygate Ax Man Rye IPA,IPA,,5.0,Drygate,
Drygate Chimera India Pale Lager,IPA,,5.9,Drygate,
Drygate Crossing The Rubicon India Pale Ale,IPA,,6.9,Drygate,
Drygate Disco Forklift Truck Mango Pale Ale,Pale Ale,,5.1,Drygate,
Drygate Gladeye IPA,IPA,,5.5,Drygate,
Drygate Orinoco Mocha Milk Stout,Stout,,6.0,Drygate,
Drygate Outaspace Apple Ale,Ale,,4.7,Drygate,
Duvel Tripel Hop,Lager,,9.5,Duvel,
Edison British Pilsner,Lager,,4.8,Electric Bear,
Einstok Pale Ale,Pale Ale,,5.6,Einstok,
Einstok White Ale,Wheat Beer,,5.2,Einstok,
Epic Brew,Blonde Ale,,4.5,Wadworth,
Erdinger Alkoholfrei,Wheat Beer,,0.0,Erdinger,
Erdinger Urweisse,Wheat Beer,,4.9,Erdinger,
Estrella Galicia Alcohol Free,Lager,,0.0,Estrella Galicia,
Estrella Galicia Cans,Lager,,4.7,Estrella Galicia,
Estrella Galicia Gluten Free,Lager,,5.5,Estrella Galicia,
Family Reserve English Sparkling Apple Wine,Apple Wine,,11.2,Thatchers,
Festival Ale,Ale,,4.1,Greene King,
Festivity,Porter,,5.0,Bath Ales,
Fireside,Winter Ale,,4.5,Greene King,
Fizzecco Sparkling Perry,Perry,,5.5,Fizzecco,
Flowers Best Bitter,Bitter,,3.3,Flowers,
Flying Dog Doggie Style Pale Ale,Pale Ale,,5.5,Flying Dog,
Flying Scotsman,Bitter,,4.0,Caledonian,
Foster's Gold,Lager,,4.3,Foster's,
Fourpure American Pale Ale,Pale Ale,,5.0,Fourpure,
Fourpure Juicebox,IPA,,5.9,Fourpure,
Fourpure Oatmeal Stout,Stout,,5.1,Fourpure,
Fourpure Pils,Lager,,4.7,Fourpure,
Fourpure Pils Lager,Lager,,4.2,Fourpure,
Fourpure Shape Shifter,IPA,,5.9,Fourpure,
Franciscan Well Chieftain IPA,IPA,,5.5,Franciscan Well,
Franciscan Well Friar Weisse,Wheat Beer,,4.7,Franciscan Well,
Franciscan Well Rebel Red,Red Ale,,4.3,Franciscan Well,
Franciscan Well Shandon Stout,Stout,,4.3,Franciscan Well,
Franziskaner Heffe Weissbier,Wheat Beer,,5.0,Franziskaner,
Free Damm,Lager,,0.0,Damm,
Freedom Amber,Rye Beer,,4.7,Freedom Brewery,
Friels First Press Vintage Cider,Cider,,7.4,Friels,
Friels Hop Infused Vintage Cider,Cider,,4.0,Friels,
Friels Vintage First Press Cider ,Cider,,7.4,Friels,
Fuller's Frontier,Lager,,4.5,Fuller's,
Fuller's Organic Honey Dew,Blonde Ale,,5.0,Fuller's,
Furstenberg Premium,Lager,,5.3,Furstenberg,
Fyne Ales Jarl,Blonde Ale,,3.8,Fyne Ales,
Fyne Ales Sandra Blonde,IPA,,5.5,Fyne Ales,
Gaymers Original Apple Cider,Cider,,4.5,Gaymers,
Gold Label,Barley Wine,,7.5,Whitbread,
Golden Sheep,Blonde Ale,,3.9,Black Sheep,
Goose Island Four Star Pils,Lager,,5.1,Goose Island,
Goose Island Green Line Pale Ale,Pale Ale,,5.4,Goose Island,
Goose Island Midway IPA ,IPA,,4.1,Goose Island,
Goose Island Midway Session IPA,IPA,,4.1,Goose Island,
Goram,IPA,,5.0,Butcombe,
Grapefruit IPA,IPA,,6.2,TailGate,
Greene King IPA,IPA,,3.6,Greene King,
Greene King Light Ale,Light Ale,,3.0,Greene King,
Greene King One Stop Hop,Pale Ale,,4.3,Greene King,
Greene King Rocking Rudolph,Winter Ale,,4.2,Greene King,
Greene King Scrum Down,IPA,,4.1,Greene King,
Grolsch Blond,Lager,,4.0,Grolsch,
Guinness Dublin Porter,Porter,,3.8,Guinness,
Guinness Foreign Extra Stout,Stout,,7.5,Guinness,
Guinness Original Extra Stout,Stout,,4.2,Guinness,
Guinness Rye Pale Ale,Pale Ale,,5.0,Guinness,
Guinness West Indies Porter,Porter,,6.0,Guinness,
Gun Brewery Project Babylon,Pale Ale,,4.6,Gun Brewery,
Hardywood Great Return West Coast IPA,IPA,,7.5,Hardywood,
Hardywood Pilsner,Lager,,5.2,Hardywood,
Hardywood Singel,Blonde Ale,,6.2,Hardywood,
Hardywood VIPA,IPA,,5.2,Hardywood,
Harveistoun Old Engine Oil,Dark Ale,,6.0,Harviestoun,
Harvest Moon,Pale Ale,,4.3,St Austell,
Harviestoun & Twisted,Golden Ale,,4.2,Harviestoun,
Harviestoun Bitter & Twisted,Golden Ale,,4.2,Harviestoun,
Harviestoun Broken Dial,Amber Ale,,4.5,Harviestoun,
Harviestoun Cast Iron Amber Ale,Amber Ale,,4.5,Harviestoun,
Harviestoun Forth Craft Lager,Lager,,4.0,Harviestoun,
Harviestoun Nitro Engine Oil,Stout,,4.5,Harviestoun,
Harviestoun Ola Dubh 12 Year Old,Ale,,8.0,Harviestoun,
Harviestoun Old Engine Oil,Dark Ale,,6.0,Harviestoun,
Harviestoun Pale,Golden Ale,,3.5,Harviestoun,
Hawkshead Lager,Lager,,5.0,Hawkshead,
Hawkshead Session IPA,IPA,,4.7,Hawkshead,
Hawkshead Windemere Pale,Pale Ale,,3.5,Hawkshead,
Heineken 0.0,Lager,,0.0,Heineken,
Help The Heroes,Ale,,4.2,Marston's,
Henry Westons Country Perry,Perry,,4.5,Westons,
Henry Westons Medium Dry,Cider,,6.5,Westons,
Henry Westons Mulled Cider,Mulled Cider,,4.0,Westons,
Herrljunga Apple Cider,Cider,,4.5,Herrljunga,
Herrljunga Blackcurrant & Lime,Fruit Cider,,4.0,Herrljunga,
Herrljunga Ginger & Lemon,Fruit Cider,,4.0,Herrljunga,
Herrljunga Pear Cider,Perry,,4.5,Herrljunga,
Herrljunga Strawberry & Vanilla,Fruit Cider,,4.0,Herrljunga,
Higson's Amber Ale,Amber Ale,,4.1,Higson's,
Higson's Pale Ale,Pale Ale,,3.8,Higson's,
Hitachino Nest Red Rice Ale,Ale,,7.0,Hitachino,
Hitachino Nest White Ale,Wheat Beer,,5.5,Hitachino,
Hobgoblin,Ale,,5.2,Wychwood,
Hobgoblin Ruby,Ale,,4.5,Wychwood,
Hog Island Pale Ale,Pale Ale,,4.8,Shepherd Neame,
Hogs Back Chocolate Lager,Lager,,4.5,Hogs Back,
Holsten Pils,Lager,,5.0,Holsten,
Hooky,Bitter,,3.5,Hook Norton Brewery,
Hooky Lion,Beer,,4.0,Hook Norton Brewery,
Innis & None,Pale Ale,,0.0,Innis & Gunn,
Island Records Jamaican Porter,Porter,,6.2,Island Records,
Jack Daniels Tennessee Cider,Cider,,5.5,Jack Daniels,
Jaipur,IPA,,5.9,Thornbridge,
Jennings Clean Slate,Beer,,4.0,Jennings,
Jennings Cumberland Ale,Golden Ale,,4.7,Jennings,
John Smith's Bitter,Bitter,,3.8,John Smith's,
John Smith's Extra Smooth Biiter,Bitter,,3.6,John Smith's,
John Smith's Extra Smooth Bitter,Bitter,,3.6,John Smith's,
Joker IPA,IPA,,5.0,Williams Bros. Brewing Co.,
Kaliber Alcohol Free Lager,Lager,,0.1,Kaliber,
Kentish Pip Skylark Sparkling Cider,Cider,,5.5,Kentish Pip,
Kentish Pip Wild Summer Elderflower Cider,Cider,,4.0,Kentish Pip,
Kinrise Bright Lager,Lager,,4.0,Open Gate,
Kissmeyer Eagle Kiss,IPA,,4.2,Kissmeyer,
Kissmeyer Easy Kiss,Pale Ale,,5.5,Kissmeyer,
Kissmeyer Eclipsed Kiss,Stout,,7.7,Kissmeyer,
Kissmeyer Into the Black,IPA,,7.0,Kissmeyer,
Kissmeyer Stocholm Syndrome,IPA,,9.5,Kissmeyer,
Kissmeyer Strange Fruit Tripel,Lager,,9.5,Kissmeyer,
Kissmeyer Young Lust Belgian Blonde,Lager,,6.0,Kissmeyer,
Knights Malvern Gold,Cider,,6.0,Knights,
Knowle Spring Blonde,Blonde Ale,,4.2,Timothy Taylor's,
Kopparberg Black,Fruit Cider,,4.0,Kopparberg,
Kopparberg Blueberry & Lime,Fruit Cider,,4.0,Kopparberg,
Kopparberg Elderflower & Lime,Fruit Cider,,4.0,Kopparberg,
Kopparberg Mixed Fruit,Fruit Cider,,4.0,Kopparberg,
Kopparberg Mixed Fruits Non Alcoholic,Fruit Cider,,0.0,Kopparberg,
Kopparberg Naked Apple,Cider,,4.5,Kopparberg,
Kopparberg Nordic Berry,Fruit Cider,,4.0,Kopparberg,
Kopparberg Pear Cider,Perry,,4.5,Kopparberg,
Kopparberg Raspberry,Fruit Cider,,4.0,Kopparberg,
Kopparberg Strawberry & Lime,Fruit Cider,,4.0,Kopparberg,
Kopparberg Strawberry & Lime Non Alcoholic,Fruit Cider,,0.0,Kopparberg,
Kozel,Lager,,4.0,Kozel,
Krombacher Low Alcohol Pils,Lager,,0.5,Krombacher,
Kwak,Lager,,8.4,Kwak,
La Chouette,Cider,,4.5,La Chouette,
Lagunitas DayTime,IPA,,4.6,Lagunitas,
Lal Toofan,Lager,,5.0,Lal Toofan,
Leffe Brune,Abbey Beer,,6.5,Leffe,
Leffe Enkel,Lager,,4.5,Leffe,
Leffe Noel,Dark Ale,,6.6,Leffe,
Liefmans Kriek Brut,Fruit Beer,,6.0,Liefmans,
Livewire American Style IPA,IPA,,5.4,Electric Bear,
London Beer Factory Chelsea Blonde,Lager,,4.3,The London Beer Factory,
London Bohemia Lager,Lager,,5.0,The London Beer Factory,
Lonerider Gunslinger Pale Ale,Pale Ale,,5.4,Lonerider,
Lonerider Hoppy Ki Yay,IPA,,6.6,Lonerider,
Lonerider Saloon Style Pilsner,Lager,,4.2,Lonerider,
Lowenbrau,Lager,,5.0,Lowenbrau,
Lowlander American Pale Ale,Pale Ale,,4.5,Lowlander,
Lowlander IPA,IPA,,6.0,Lowlander,
Lowlander Poorter,Porter,,6.0,Lowlander,
Lowlander White Ale,Ale,,5.0,Lowlander,
Lushingtons,Pale Ale,,4.2,Skinners,
Macbeth - Scottish Pale Ale,Pale Ale,,4.1,Deeside,
Machlachlan's Best Ale,Ale,,3.6,Machlachlan's,
Maeloc Blackberry Cider,Fruit Cider,,4.0,Maeloc,
Maeloc Dry Apple Cider,Cider,,4.5,Maeloc,
Maeloc Strawberry Cider,Fruit Cider,,4.0,Maeloc,
Magners Golden Draught,Cider,,4.5,Magners,
Magners Orchard Berries,Fruit Cider,,4.0,Magners,
Manns Brown Ale,Brown Ale,,2.8,Manns,
March Of The Penguins,Stout,,5.0,Williams Bros. Brewing Co.,
Marmalade on Toast,Ale,,4.5,Greene King,
Marston's 61 Deep Pale Ale,Pale Ale,,3.8,Marston's,
Marston's Old Empire IPA,IPA,,5.7,Marston's,
Marstons Resolution,Ale,,4.7,Marston's,
McEwan's 60/-,Pale Ale,,3.2,McEwan's,
McEwan's 70/-,Ale,,3.7,McEwan's,
McEwan's 80/-,Ale,,4.2,McEwan's,
Meantime Anytime IPA,IPA,,4.7,Meantime,
Meantime Cali Pale Ale,Pale Ale,,5.0,Meantime,
Meantime Chocolate Porter,Porter,,6.5,Meantime,
Meantime Fest Bier,Lager,,5.6,Meantime,
Meantime Fools Gold,Ale,,4.5,Meantime,
Meantime London IPA,IPA,,7.4,Meantime,
Meantime London Stout,Stout,,4.5,Meantime,
Meantime Lucky Hop,Summer Ale,,4.4,Meantime,
Meantime Meridian Lager,Lager,,5.0,Meantime,
Meantime Wheat,Wheat Beer,,5.0,Meantime,
Meantime Winter Sun,Ale,,5.9,Meantime,
Mela Rossa,Cider,,5.0,Angioletti,
Menabrea Amber,Lager,,5.0,Menabrea,
Miller Genuine Draft,Lager,,4.7,Miller,
Modelo Especial,Lager,,4.5,Modelo,
Modelo Negra,Lager,,5.3,Modelo,
Monteith's Bohemian Pilsner,Lager,,5.0,Monteith's,
Monteith's Summer Ale,Summer Ale,,5.0,Monteith's,
Murphy's Irish Stout,Stout,,4.0,Murphy's,
My Generation Pale Ale,Pale Ale,,4.2,My Generation,
Newcastle Brown Ale,Brown Ale,,4.7,Newcastle Brown Ale,
Nomad Beach House Pale,Pale Ale,,5.0,Nomad,
Nomad Freshie Salt & Pepper Gose,Gose,,4.5,Nomad,
Nomad Jet Leg IPA,IPA,,6.0,Nomad,
Nomad Juicy As Fruit IPA,IPA,,4.5,Nomad,
Nomad South Pacific Dream,Pale Ale,,4.0,Nomad,
North Brewing Herzog,Lager,,5.0,North Brewing,
North Brewing Pinata,Pale Ale,,4.5,North Brewing,
North Brewing Sputnik,Pale Ale,,5.0,North Brewing,
North Brewing Transmission IPA,IPA,,6.9,North Brewing,
Oakham Ales Inferno,Ale,,4.6,Oakham Ales,
Old Golden Hen,Golden Ale,,4.1,Morland,
Old Hoppy Hen,Pale Ale,,4.8,Morland,
Old Mout Berries & Cherries,Fruit Cider,,4.0,Old Mout,
Old Mout Berries & Cherries 0%,Fruit Cider,,0.0,Old Mout,
Old Mout Kiwi & Lime,Fruit Cider,,4.0,Old Mout,
Old Mout Passion & Apple,Fruit Cider,,4.0,Old Mout,
Old Mout Strawberry & Pomegranate,Fruit Cider,,4.0,Old Mout,
Old Speckled Hen Gluten Free,Ale,,5.0,Morland,
Olde English,Cider,,4.5,Olde English,
Open Gate Citra IPA,IPA,,5.0,Open Gate,
Open Gate Pilsner,Lager,,5.0,Open Gate,
Orchard Pig Charmer,Cider,,6.0,Orchard Pig,
Orchard Pig Explorer,Cider,,4.5,Orchard Pig,
Orchard Pig Navelgazer,Cider,,6.0,Orchard Pig,
Orchard Pig The Hogfather,Cider,,7.4,Orchard Pig,
Orchard Pig Truffler,Cider,,6.0,Orchard Pig,
Orpens Fresh Pressed Apple Cider,Cider,,5.3,Orpens,
Ossian Golden Ale,Golden Ale,,4.1,Inveralmond Brewery,
Pacifico Clara,Lager,,4.5,Pacifico,
Palma Cristal,Lager,,4.9,Palma Cristal,
Peroni Ambra,Lager,,6.0,Peroni,
Peroni Gran Riserva,Lager,,6.6,Peroni,
Peroni Nastro Azzurro (Gluten Free),Lager,,5.1,Peroni,
Peroni Nastro Azzurro Piccola,Lager,,5.1,Peroni,
Peroni Red,Lager,,4.7,Peroni,
Pig & Porter Dance First,Porter,,4.2,Pig & Porter,
Pig & Porter Gothic Imperial Stout,Porter,,7.4,Pig & Porter,
Pig & Porter Red Spider Rye,Rye Beer,,4.8,Pig & Porter,
Pig & Porter Skylarking Session IPA,IPA,,4.0,Pig & Porter,
Pimm's Mango & Passion Fruit Cider Cup,Fruit Cider,,4.0,Pimm's,
Pimm's Plum & Red Apple Cider Cup,Fruit Cider,,4.0,Pimm's,
Pimm's Strawberry & Cucumber Cider Cup,Fruit Cider,,4.0,Pimm's,
Pimm's Summer Fruits Cider Cup,Fruit Cider,,4.0,Pimm's,
Pistonhead Kustom Lager,Lager,,4.6,Pistonhead,
Point Belgium White,Wheat Beer,,5.4,Point,
Point IPA,IPA,,5.6,Point,
Polar Monkeys White Collar Golden Ale,Golden Ale,,5.5,Polar Monkeys,
Port City Optimal Wit,Wheat Beer,,4.9,Port City,
Port City Porter,Porter,,7.2,Port City,
Porterhouse Dublin Pale Ale,Pale Ale,,4.2,Porterhouse,
Porterhouse Hop Head IPA,IPA,,5.0,Porterhouse,
Porterhouse Nitro Red Ale,Ale,,4.2,Porterhouse,
Portobello Westways Pale Ale,Pale Ale,,4.0,Portobello Brewing Co,
Pravha,Lager,,4.0,Pravha,
Punk IPA,Beer,,5.4,BrewDog,
Quilmes,Lager,,4.9,Quilmes,
Rekorderlig Apple Cider,Cider,,4.5,Rekorderlig,
Rekorderlig Botanicals Grapefruit & Rosemary,Fruit Cider,,4.0,Rekorderlig,
Rekorderlig Botanicals Peach & Basil,Fruit Cider,,4.0,Rekorderlig,
"Rekorderlig Botanicals Rhubarb, Lemon & Mint",Fruit Cider,,4.0,Rekorderlig,
Rekorderlig Dry Apple Cider,Cider,,5.0,Rekorderlig,
Rekorderlig Pear Cider,Perry,,4.5,Rekorderlig,
Rekorderlig Spiced Plum,Fruit Cider,,4.0,Rekorderlig,
Rekorderlig Strawberry & Lime Low Alcohol,Fruit Cider,,0.2,Rekorderlig,
Revisionist Craft Lager,Lager,,4.0,Revisionist,
Riggwelter,Ale,,5.9,Black Sheep,
Ringwood Fortyniner,Golden Ale,,4.9,Ringwood,
Rocking Rudolph,Beer,,4.2,Hardys & Hansons,
Rothhammer Golden Ale,Golden Ale,,5.5,Rothhammer,
Rothhammer Nazca IPA,IPA,,4.7,Rothhammer,
Rothhammer Red Ale,Red Ale,,4.5,Rothhammer,
Rothhammer Stratus Lager,Lager,,4.2,Rothhammer,
Rothhammer Stratus lager,Lager,,4.2,Rothhammer,
Ruck & Roll,Ale,,4.0,St Austell,
Ruddles Best,Bitter,,3.7,Ruddles,
Rudolph's Reward,Light Ale,,3.7,No. 18 Yard Brewhouse,
Sadler's Peaky Blinder Craft Lager,Lager,,4.1,Sadler's Peaky Blinder,
Sadler's Peaky Blinder Lager,Lager,,4.1,Sadler's Peaky Blinder,
Sadler's Peaky Blinder Pale Ale,Pale Ale,,4.4,Sadler's Peaky Blinder,
Sagres,Lager,,5.0,Sagres,
Saint Lager,Lager,,4.6,Saint,
Salitos,Lager,,5.9,Salitos,
San Miguel Fresca,Lager,,4.4,San Miguel,
Sandford Orchards Berry Lane Cider,Fruit Cider,,4.0,Sandford Orchards,
Sandford Orchards Old Blossom,Cider,,4.0,Sandford Orchards,
Sandford Orchards St Louis Dry Hopped,Cider,,5.5,Sandford Orchards,
Sassy Cidre Lâ€™imitable,Cider,,5.2,Sassy Cidre,
Sassy Cidre Rose,Cider,,3.0,Sassy Cidre,
Savanna Dry Cider,Cider,,5.0,Savanna,
Sayers Stout,Stout,,4.5,The London Beer Factory,
Seven Bro7hers EPA,Pale Ale,,4.8,Seven Bro7hers,
Seven Giraffes,IPA,,5.1,Williams Bros. Brewing Co.,
Sharp's Atlantic Pale Ale,Beer,,4.2,Sharp's,
Sharps 6 Vintage Blend,Ale,,7.4,Sharps,
Sharps Orchard Cider,Cider,,4.5,Sharps,
Sharps Single Brew,Lager,,4.5,Sharps,
Shed Head,Lager,,4.6,Backyard Brew,
Sheppy's 200 Special Edition Cider,Cider,,5.0,Sheppy's,
Sheppy's Classic Draught Cider,Cider,,5.5,Sheppy's,
Sheppy's Oakwood Cider,Cider,,4.8,Sheppy's,
Shipyard Pale Ale,Beer,,4.5,Shipyard,
Shipyard Rye Pale Ale,Rye Beer,,4.3,Shipyard,
Shipyard Summer Ale,Wheat Beer,,4.8,Shipyard,
Sierra Nevada Porter,Porter,,5.6,Sierra Nevada,
Sierra Nevada Torpedo Extra IPA,IPA,,7.2,Sierra Nevada,
Sierra Nevada Tropical Torpedo,IPA,,6.7,Sierra Nevada,
Singha,Lager,,5.0,Singha,
Siren Craft Brew Calypso,Sour Beer,,4.0,Siren Craft Brew,
Siren Craft Brew Yu Lu,Ale,,3.8,Siren Craft Brew,
Skinny Brands Lager,Lager,,4.0,Skinny Brands,
Smirnoff Cider Mandarin & Pink Grapefruit,Fruit Cider,,4.0,Smirnoff,
Sol,Lager,,4.5,Sol,
Somersby Strawberry & Rhubarb,Fruit Cider,,4.0,Somersby,
Spaten Helles,Lager,,5.2,Spaten,
Spindrift,Blonde Ale,,4.0,Adnams,
Spitfire,Ale,,4.2,Shepherd Neame,
Spring Fever,Ale,,4.1,St Austell,
St Andrews Ale,Amber Ale,,4.9,Belhaven Brewery,
St Austell Jolly Holly,Ale,,4.5,St Austell,
St Austell Liquid Sun,Golden Ale,,3.9,St Austell,
St Austell Proper Job,IPA,,4.5,St Austell,
St Austell Tribute,Ale,,4.2,St Austell,
St George and the Dragon,Ale,,4.5,Wadworth,
Stella Artois 4%,Lager,,4.0,Stella Artois,
Stella Artois Black,Lager,,4.9,Stella Artois,
Stella Artois Cidre Apple,Cider,,4.5,Stella Artois,
Stella Artois Cidre Peach,Fruit Cider,,4.0,Stella Artois,
Stella Artois Cidre Pear,Fruit Cider,,4.5,Stella Artois,
Stella Artois Cidre Raspberry,Fruit Cider,,4.0,Stella Artois,
Stella Artois Gluten Free,Lager,,4.8,Stella Artois,
Stella Cidre,Cider,,4.5,Stella Artois,
Stewart Edinburgh Gold,Golden Ale,,4.8,Stewart,
Stewart Hollyrood Pale Ale,Pale Ale,,5.0,Stewart,
Stewart Ka Pai Hopped Pale Ale,Pale Ale,,5.2,Stewart,
Stone IPA,IPA,,6.9,Stone,
Stone White Ghost Berliner Weisse,Wheat Beer,,4.7,Stone,
Stowford Press,Cider,,4.5,Stowford Press,
Stowford Press 0.5% Low Alcohol Cider,Cider,,0.5,Stowford Press,
Stowford Press Draught Cider,Cider,,4.5,Stowford Press,
Stowford Press Mixed Berries,Fruit Cider,,4.0,Stowford Press,
Sxollie Golden Delicous Cider,Cider,,4.5,Sxollie,
Sxollie Granny Smith Cider,Cider,,4.5,Sxollie,
Symonds Founder's Reserve Cider,Cider,,4.5,Symonds,
Tailgate Peanut Butter Milk Stout,Stout,,5.8,TailGate,
Tailgate South East IPA,IPA,,6.2,TailGate,
Tartan Special,Ale,,3.7,Younger's,
Taunton Traditional Cider,Cider,,5.2,Taunton Traditional Cider,
Tennent's 80/- Ember,Bitter,,4.2,Tennent's,
Tennent's Special,Bitter,,3.5,Tennent's,
Tennent's Special 70/-,Bitter,,3.5,Tennent's,
Tetley Smoothflow Bitter,Bitter,,3.6,Tetley's,
Tetley's Dark Mild,Ale,,2.8,Tetley's,
Tetley's Mild,Ale,,3.2,Tetley's,
Tetley's Smoothflow Bitter,Bitter,,3.6,Tetley's,
Tetley's Traditional Bitter,Bitter,,3.7,Tetley's,
Thatchers Green Goblin,Cider,,5.0,Thatchers,
Thatchers Katy,Cider,,7.4,Thatchers,
Thatchers Stan's Big Apple,Cider,,5.0,Thatchers,
Thatchers Stan's Cheddar Valley,Cider,,5.0,Thatchers,
Thatchers Stan's Trad,Cider,,6.0,Thatchers,
The Cotswold Cider Co BlowHorn,Cider,,4.0,The Cotswold Cider Co,
The Cotswold Cider Co No Brainer,Cider,,4.8,The Cotswold Cider Co,
The Cotswold Cider Co Side Burns,Cider,,5.4,The Cotswold Cider Co,
The Cotswold Cider Co Sweet Cheeks,Fruit Cider,,4.0,The Cotswold Cider Co,
The Other Side of the Blond,Blonde Ale,,5.0,Vic Ale,
Theakstons Best Bitter,Bitter,,3.8,Theakstons,
Thistly Cross Cider,Cider,,6.2,Thistly Cross Cider,
Thistly Cross Ginger,Cider,,4.0,Thistly Cross Cider,
Thistly Cross Real Elderflower Cider,Cider,,4.0,Thistly Cross Cider,
Thistly Cross Real Strawberry Cider,Fruit Cider,,4.0,Thistly Cross Cider,
Thistly Cross Whisky Cask Cider,Cider,,6.9,Thistly Cross Cider,
Thornbridge Jaipur,IPA,,5.9,Thornbridge,
Thornbridge Tart Bakewell Sour,Sour Beer,,6.0,Thornbridge,
Timmermans Peche,Fruit Beer,,4.0,Timmermans,
Timothy Taylor's Boltmaker,Bitter,,4.0,Timothy Taylor's,
Timothy Taylor's Landlord,Beer,,4.3,Timothy Taylor's,
Tiny Rebel Beatbox,Pale Ale,,4.5,Tiny Rebel,
Tiny Rebel Bo'Ho,Lager,,5.0,Tiny Rebel,
Tiny Rebel Cali,Pale Ale,,5.6,Tiny Rebel,
Tiny Rebel Dirty Stop Out,Stout,,4.6,Tiny Rebel,
Tiny Rebel Frambuzi,Sour Beer,,4.3,Tiny Rebel,
Tiny Rebel Fubar,Pale Ale,,4.4,Tiny Rebel,
Tiny Rebel Stay Puft,Porter,,5.2,Tiny Rebel,
Toast Purebread Pale Ale,Pale Ale,,5.0,Toast,
Tribute,Beer,,4.2,St Austell,
Tsingtao,Lager,,4.7,Tsingtao,
Tuborg,Lager,,4.0,Tuborg,
Two Fingers Aurelio,Golden Ale,,4.8,Two Fingers,
